Data Source,Description,Link,ATT&CK Techniques
DS0026,Active Directory,https://attack.mitre.org/datasources/DS0026,"Enterprise - T1649, Enterprise - T1558,  - ,  - ,  - , Enterprise - T1550,  - ,  - "
DS0015,Application Log,https://attack.mitre.org/datasources/DS0015,"Enterprise - T1098,  - , ICS - T0800, Enterprise - T1557,  - , ICS - T0830, ICS - T0803, ICS - T0804, ICS - T0805, Enterprise - T1110,  - ,  - ,  - ,  - , ICS - T0806, ICS - T0858, ICS - T0807, Enterprise - T1213,  - ,  - ,  - ,  - ,  - , ICS - T0811, Enterprise - T1622, Enterprise - T1491,  - ,  - , ICS - T0814, Enterprise - T1610, ICS - T0816, Enterprise - T1484,  - , Enterprise - T1189, ICS - T0817, Enterprise - T1114,  - ,  - , Enterprise - T1499,  - ,  - ,  - , Enterprise - T1048, Enterprise - T1567,  - , Enterprise - T1190, ICS - T0819, Enterprise - T1203, Enterprise - T1212, Enterprise - T1211, ICS - T0820, ICS - T0890, Enterprise - T1210, ICS - T0866, Enterprise - T1133, ICS - T0822, Enterprise - T1657, Enterprise - T1200, Enterprise - T1564,  - , Enterprise - T1562, Enterprise - T1656, Enterprise - T1070,  - , Enterprise - T1534, ICS - T0838, Enterprise - T1556,  - ,  - , ICS - T0821, ICS - T0836, ICS - T0889, ICS - T0839, ICS - T0801, Enterprise - T1621, Enterprise - T1027,  - ,  - , Enterprise - T1137,  - ,  - ,  - , Enterprise - T1069,  - , Enterprise - T1566,  - ,  - ,  - ,  - , Enterprise - T1598,  - ,  - ,  - ,  - , ICS - T0861, ICS - T0843, ICS - T0845, Enterprise - T1496,  - ,  - , ICS - T0848, Enterprise - T1594, Enterprise - T1505,  - ,  - ,  - , Enterprise - T1648, Enterprise - T1072, ICS - T0865, Enterprise - T1649, ICS - T0857, Enterprise - T1537, ICS - T0864, Enterprise - T1199, ICS - T0855, Enterprise - T1552,  - , Enterprise - T1550,  - , Enterprise - T1204,  - , ICS - T0863, ICS - T0860"
DS0041,Application Vetting,https://attack.mitre.org/datasources/DS0041,"Mobile - T1661, Mobile - T1414, Mobile - T1623,  - , Mobile - T1645, Mobile - T1634,  - , Mobile - T1662, Mobile - T1471, Mobile - T1641,  - , Mobile - T1407, Mobile - T1627,  - , Mobile - T1404, Mobile - T1541, Mobile - T1628,  - , Mobile - T1629,  - , Mobile - T1630, Mobile - T1655,  - , Mobile - T1406,  - , Mobile - T1424, Mobile - T1631,  - , Mobile - T1513, Mobile - T1418,  - , Mobile - T1635,  - , Mobile - T1409, Mobile - T1474,  - ,  - , Mobile - T1633,  - "
DS0039,Asset,https://attack.mitre.org/datasources/DS0039,"ICS - T0838, ICS - T0836, ICS - T0843, ICS - T0848"
DS0037,Certificate,https://attack.mitre.org/datasources/DS0037,"Enterprise - T1588,  - "
DS0025,Cloud Service,https://attack.mitre.org/datasources/DS0025,"Enterprise - T1562,  - "
DS0010,Cloud Storage,https://attack.mitre.org/datasources/DS0010,"Enterprise - T1619, Enterprise - T1530, Enterprise - T1048"
DS0017,Command,https://attack.mitre.org/datasources/DS0017,"Enterprise - T1548,  - ,  - ,  - ,  - , Enterprise - T1134,  - ,  - ,  - , Enterprise - T1087,  - ,  - ,  - ,  - , Enterprise - T1098,  - , Enterprise - T1010, Enterprise - T1560,  - , Enterprise - T1123, Enterprise - T1119, ICS - T0802, Enterprise - T1020, Enterprise - T1197, Enterprise - T1547,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1037,  - ,  - ,  - ,  - ,  - , Enterprise - T1176, Enterprise - T1217, Enterprise - T1110, Enterprise - T1115, Enterprise - T1651, Enterprise - T1059,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Mobile - T1623,  - , ICS - T0807, Enterprise - T1609, Enterprise - T1136,  - ,  - , Enterprise - T1543,  - ,  - ,  - ,  - ,  - , Enterprise - T1555,  - ,  - ,  - ,  - ,  - , Enterprise - T1485, Mobile - T1662, ICS - T0809, Enterprise - T1486, Enterprise - T1005, ICS - T0893, Enterprise - T1039, Enterprise - T1025, Enterprise - T1074,  - ,  - , Enterprise - T1622, Enterprise - T1652, Enterprise - T1006, Enterprise - T1561,  - ,  - , Enterprise - T1484,  - ,  - , Enterprise - T1482, Enterprise - T1114,  - ,  - ,  - , Enterprise - T1546,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1480,  - , Enterprise - T1048,  - ,  - ,  - , Enterprise - T1041, Enterprise - T1011,  - , Enterprise - T1052,  - , Enterprise - T1567,  - ,  - ,  - , Enterprise - T1083, Enterprise - T1222,  - ,  - , ICS - T0823, Enterprise - T1615, Enterprise - T1564,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1574,  - ,  - ,  - , Enterprise - T1562,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1070,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , ICS - T0872, Enterprise - T1202, Enterprise - T1105, Enterprise - T1490, Enterprise - T1056, Enterprise - T1570, ICS - T0867, Enterprise - T1654, Enterprise - T1036,  - ,  - ,  - , ICS - T0849, Enterprise - T1556, Enterprise - T1112, ICS - T0840, Enterprise - T1046, Enterprise - T1135, Enterprise - T1040, ICS - T0842, Enterprise - T1027,  - ,  - , Enterprise - T1137,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1003,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1201, Enterprise - T1120, Enterprise - T1069,  - ,  - ,  - , Enterprise - T1647, Enterprise - T1653, Enterprise - T1542,  - , Enterprise - T1057, Enterprise - T1012, Enterprise - T1563,  - ,  - , Enterprise - T1021,  - ,  - , ICS - T0886, Enterprise - T1018, Enterprise - T1496,  - ,  - , Enterprise - T1053,  - ,  - ,  - ,  - , Enterprise - T1113, ICS - T0852, ICS - T0853, Enterprise - T1505,  - , Enterprise - T1489, ICS - T0881, Enterprise - T1518,  - , Enterprise - T1649, Enterprise - T1558, Enterprise - T1553,  - ,  - ,  - , Enterprise - T1218,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , ICS - T0894, Enterprise - T1082, Enterprise - T1614,  - , Enterprise - T1016,  - ,  - , Enterprise - T1049, Enterprise - T1033, Enterprise - T1216,  - ,  - , Enterprise - T1007, Enterprise - T1569,  - ,  - , Enterprise - T1529, Enterprise - T1124, Enterprise - T1127,  - ,  - , Enterprise - T1552,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1204,  - , ICS - T0863, Enterprise - T1125, Enterprise - T1497,  - ,  - ,  - , Enterprise - T1047"
DS0032,Container,https://attack.mitre.org/datasources/DS0032,"Enterprise - T1543,  - , Enterprise - T1610, Enterprise - T1611, Enterprise - T1053,  - , Enterprise - T1204,  - "
DS0038,Domain Name,https://attack.mitre.org/datasources/DS0038,"Enterprise - T1583,  - , Enterprise - T1584,  - ,  - "
DS0016,Drive,https://attack.mitre.org/datasources/DS0016,"Enterprise - T1092, Enterprise - T1006, Enterprise - T1561,  - ,  - "
DS0027,Driver,https://attack.mitre.org/datasources/DS0027,"Enterprise - T1547,  - ,  - , Enterprise - T1543,  - , Enterprise - T1561,  - ,  - , Enterprise - T1068, Enterprise - T1562,  - , Enterprise - T1056,  - , Enterprise - T1111"
DS0022,File,https://attack.mitre.org/datasources/DS0022,"Enterprise - T1087,  - , Enterprise - T1119, ICS - T0802, Enterprise - T1020, Enterprise - T1217, Enterprise - T1555,  - ,  - ,  - ,  - , Enterprise - T1005, ICS - T0893, Enterprise - T1039, Enterprise - T1025, Enterprise - T1074,  - ,  - , Enterprise - T1114,  - , Enterprise - T1048,  - ,  - ,  - , Enterprise - T1041, Enterprise - T1011,  - , Enterprise - T1052,  - , Enterprise - T1567,  - ,  - ,  - , Enterprise - T1187, Enterprise - T1654, Enterprise - T1003,  - ,  - ,  - ,  - , Enterprise - T1018, ICS - T0846, ICS - T0888, Enterprise - T1091, ICS - T0847, Enterprise - T1649, Enterprise - T1558,  - , Enterprise - T1539, Enterprise - T1033, Enterprise - T1552,  - ,  - ,  - ,  - , ICS - T0863"
DS0018,Firewall,https://attack.mitre.org/datasources/DS0018,"Enterprise - T1562,  - ,  - "
DS0001,Firmware,https://attack.mitre.org/datasources/DS0001,"Enterprise - T1495, Enterprise - T1564,  - , ICS - T0839, Enterprise - T1542,  - ,  - ,  - ,  - , Enterprise - T1014, ICS - T0851, ICS - T0857"
DS0036,Group,https://attack.mitre.org/datasources/DS0036,"Enterprise - T1087,  - , Enterprise - T1069,  - ,  - ,  - "
DS0007,Image,https://attack.mitre.org/datasources/DS0007,"Enterprise - T1612, Enterprise - T1525, Enterprise - T1204,  - "
DS0030,Instance,https://attack.mitre.org/datasources/DS0030,"Enterprise - T1578,  - , Enterprise - T1535, Enterprise - T1204,  - "
DS0035,Internet Scan,https://attack.mitre.org/datasources/DS0035,"Enterprise - T1583,  - ,  - ,  - ,  - ,  - , Enterprise - T1584,  - ,  - ,  - ,  - ,  - , Enterprise - T1587,  - , Enterprise - T1592,  - ,  - ,  - , Enterprise - T1665, Enterprise - T1588,  - , Enterprise - T1608,  - ,  - ,  - ,  - ,  - ,  - "
DS0008,Kernel,https://attack.mitre.org/datasources/DS0008,"Enterprise - T1547,  - , Enterprise - T1611"
DS0028,Logon Session,https://attack.mitre.org/datasources/DS0028,"Enterprise - T1185, Enterprise - T1538, Enterprise - T1526, Enterprise - T1213,  - ,  - ,  - ,  - , ICS - T0811, ICS - T0812, Enterprise - T1114,  - , Enterprise - T1606,  - ,  - , ICS - T0823, ICS - T0891, Enterprise - T1556,  - ,  - ,  - ,  - , Enterprise - T1621, Enterprise - T1003, Enterprise - T1563,  - ,  - , Enterprise - T1021,  - ,  - ,  - ,  - ,  - ,  - ,  - , ICS - T0886, Enterprise - T1649, Enterprise - T1199, Enterprise - T1550,  - ,  - , Enterprise - T1078,  - ,  - ,  - ,  - , ICS - T0859, ICS - T0860"
DS0004,Malware Repository,https://attack.mitre.org/datasources/DS0004,"Enterprise - T1587,  - , Enterprise - T1588,  - "
DS0011,Module,https://attack.mitre.org/datasources/DS0011,"Enterprise - T1547,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1059,  - ,  - ,  - , Enterprise - T1546,  - ,  - ,  - ,  - ,  - ,  - , ICS - T0823, Enterprise - T1574,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1559,  - ,  - , Enterprise - T1556,  - ,  - , Enterprise - T1106, Enterprise - T1027,  - , Enterprise - T1137,  - , Enterprise - T1055,  - ,  - , Enterprise - T1620, Enterprise - T1021,  - , ICS - T0886, ICS - T0853, Enterprise - T1505, Enterprise - T1129, Enterprise - T1553,  - , Enterprise - T1218,  - ,  - ,  - ,  - ,  - , Enterprise - T1127,  - , Enterprise - T1220"
DS0023,Named Pipe,https://attack.mitre.org/datasources/DS0023,Enterprise - T1570
DS0033,Network Share,https://attack.mitre.org/datasources/DS0033,"Enterprise - T1486, ICS - T0811, Enterprise - T1039, Enterprise - T1570, ICS - T0867, Enterprise - T1021,  - , ICS - T0886, Enterprise - T1080"
DS0029,Network Traffic,https://attack.mitre.org/datasources/DS0029,"Mobile - T1638, Enterprise - T1020,  - , Enterprise - T1197, Enterprise - T1176, Enterprise - T1612, Enterprise - T1602,  - ,  - , Enterprise - T1039, Enterprise - T1030, Enterprise - T1189, ICS - T0817, Enterprise - T1568,  - , Enterprise - T1114,  - , Enterprise - T1048,  - ,  - ,  - , Enterprise - T1041, Enterprise - T1011,  - , Enterprise - T1567,  - , Enterprise - T1133, Enterprise - T1008, Enterprise - T1105, Enterprise - T1104, Enterprise - T1542,  - , Enterprise - T1572, Enterprise - T1090,  - ,  - ,  - , Enterprise - T1219, Enterprise - T1021,  - ,  - ,  - ,  - ,  - ,  - , ICS - T0886, Enterprise - T1018, Enterprise - T1496,  - ,  - , Enterprise - T1029, Enterprise - T1218,  - ,  - ,  - ,  - , Enterprise - T1221, Enterprise - T1205,  - ,  - , Enterprise - T1204,  - , ICS - T0863, Enterprise - T1102,  - ,  - , Mobile - T1481,  - ,  - ,  - , Enterprise - T1047"
DS0040,Operational Databases,https://attack.mitre.org/datasources/DS0040,"ICS - T0800, ICS - T0878, ICS - T0892, ICS - T0858, ICS - T0816, ICS - T0821, ICS - T0836, ICS - T0889, ICS - T0839, ICS - T0843, ICS - T0848, ICS - T0856, ICS - T0857"
DS0021,Persona,https://attack.mitre.org/datasources/DS0021,"Enterprise - T1586,  - , Enterprise - T1585,  - "
DS0014,Pod,https://attack.mitre.org/datasources/DS0014,Enterprise - T1610
DS0009,Process,https://attack.mitre.org/datasources/DS0009,"Enterprise - T1548,  - , Enterprise - T1134,  - ,  - ,  - ,  - ,  - , Enterprise - T1087,  - , Enterprise - T1010, Enterprise - T1123, Enterprise - T1547,  - ,  - , Enterprise - T1115, Enterprise - T1059, Enterprise - T1543,  - , Enterprise - T1555,  - ,  - ,  - ,  - , Enterprise - T1005, ICS - T0893, Enterprise - T1565,  - ,  - , Enterprise - T1622, Enterprise - T1652, Enterprise - T1482, Enterprise - T1611, Enterprise - T1546,  - , Enterprise - T1480, ICS - T0871, Enterprise - T1083, Enterprise - T1564,  - , Enterprise - T1574, ICS - T0874, Enterprise - T1562,  - , Enterprise - T1070,  - ,  - , ICS - T0872, Enterprise - T1056,  - ,  - , Enterprise - T1036,  - , Enterprise - T1556,  - ,  - , Enterprise - T1112, Enterprise - T1111, Enterprise - T1106, ICS - T0834, ICS - T0840, Enterprise - T1135, Enterprise - T1027,  - , Enterprise - T1003,  - , Enterprise - T1120, Enterprise - T1069,  - , Enterprise - T1542,  - , Enterprise - T1057, Enterprise - T1055,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - , Enterprise - T1012, Enterprise - T1620, Enterprise - T1113, ICS - T0852, Enterprise - T1489, ICS - T0881, Enterprise - T1129, Enterprise - T1518,  - , Enterprise - T1218,  - , Enterprise - T1082, Enterprise - T1614,  - , Enterprise - T1016,  - , Enterprise - T1049, Enterprise - T1033, Enterprise - T1007, Enterprise - T1124, Enterprise - T1125, Enterprise - T1497,  - ,  - ,  - "
DS0003,Scheduled Job,https://attack.mitre.org/datasources/DS0003,"ICS - T0849, Enterprise - T1053,  - ,  - ,  - ,  - ,  - "
DS0012,Script,https://attack.mitre.org/datasources/DS0012,"Enterprise - T1560,  - ,  - , Enterprise - T1119, ICS - T0802, Enterprise - T1020, Enterprise - T1651, Enterprise - T1059,  - ,  - ,  - ,  - , Enterprise - T1005, ICS - T0893, Enterprise - T1140, Enterprise - T1482, Enterprise - T1615, Enterprise - T1564,  - ,  - , Enterprise - T1562,  - , Enterprise - T1056, Enterprise - T1559,  - ,  - , Enterprise - T1556, ICS - T0840, Enterprise - T1027,  - , Enterprise - T1620, ICS - T0853, ICS - T0894, Enterprise - T1016, Enterprise - T1216,  - ,  - "
DS0013,Sensor Health,https://attack.mitre.org/datasources/DS0013,"Mobile - T1398, Mobile - T1645, Mobile - T1634,  - , Mobile - T1456, Enterprise - T1499,  - ,  - ,  - ,  - , Mobile - T1664, Mobile - T1404, Mobile - T1625,  - , Enterprise - T1562,  - ,  - ,  - ,  - ,  - , Mobile - T1630, Mobile - T1461, Enterprise - T1498,  - ,  - , Mobile - T1458, Enterprise - T1496,  - , Enterprise - T1195,  - , Mobile - T1474,  - , Enterprise - T1529"
DS0019,Service,https://attack.mitre.org/datasources/DS0019,"Enterprise - T1557,  - , ICS - T0830, Enterprise - T1543,  - ,  - ,  - ,  - , Enterprise - T1564,  - , Enterprise - T1036,  - , ICS - T0849, Enterprise - T1569,  - ,  - "
DS0020,Snapshot,https://attack.mitre.org/datasources/DS0020,"Enterprise - T1578,  - , Enterprise - T1537"
DS0002,User Account,https://attack.mitre.org/datasources/DS0002,"Enterprise - T1119, Enterprise - T1110,  - ,  - ,  - ,  - , Enterprise - T1538, Enterprise - T1212, Enterprise - T1606, Enterprise - T1070,  - ,  - , Enterprise - T1556,  - , Enterprise - T1621, Enterprise - T1207, Enterprise - T1552,  - ,  - , Enterprise - T1550,  - ,  - , Enterprise - T1078,  - ,  - ,  - ,  - , ICS - T0859"
DS0042,User Interface,https://attack.mitre.org/datasources/DS0042,"Mobile - T1626,  - , Mobile - T1638, Mobile - T1662, Mobile - T1420, Mobile - T1663"
DS0034,Volume,https://attack.mitre.org/datasources/DS0034,Enterprise - T1578
DS0006,Web Credential,https://attack.mitre.org/datasources/DS0006,"Enterprise - T1606,  - "
DS0024,Windows Registry,https://attack.mitre.org/datasources/DS0024,"Enterprise - T1652, Enterprise - T1003,  - ,  - , Enterprise - T1012, Enterprise - T1649, Enterprise - T1614, Enterprise - T1033, Enterprise - T1552,  - "
DS0005,WMI,https://attack.mitre.org/datasources/DS0005,"Enterprise - T1546,  - , Enterprise - T1027,  - , Enterprise - T1021, Enterprise - T1047"
